id	rate	name
1	23.0	Alabama
4	35.5	Arizona
5	33.5	Arkansas
6	42.0	California
8	19.0	Colorado
9	30.0	Connecticut
10	33.5	Delaware
11	24.5	District of Columbia
12	14.0	Florida
13	26.5	Georgia
15	21.5	Hawaii
16	2.5	Idaho
17	44.0	Illinois
18	32.0	Indiana
19	16.0	Iowa
20	37.0	Kansas
21	8.0	Kentucky
22	0.0	Louisiana
23	9.5	Maine
24	11.0	Maryland
25	35.5	Massachusetts
26	38.0	Michigan
27	29.0	Minnesota
28	2.5	Mississippi
29	46.0	Missouri
30	19.0	Montana
31	26.5	Nebraska
32	47.0	Nevada
33	6.0	New Hampshire
34	5.0	New Jersey
35	0.0	New Mexico
36	31.0	New York
37	12.0	North Carolina
38	17.0	North Dakota
39	43.0	Ohio
40	39.0	Oklahoma
41	45.0	Oregon
42	28.0	Pennsylvania
44	40.5	Rhode Island
45	24.5	South Carolina
46	7.0	South Dakota
47	40.5	Tennessee
48	21.5	Texas
49	9.5	Utah
50	14.0	Vermont
51	1.0	Virginia
53	48.0	Washington
54	4.0	West Virginia
55	19.0	Wisconsin
56	14.0	Wyoming
